,Empresa,Breve descrição / o que faz,Vertical sugerido,Driver sugerido,Justificativa,
,CleanClic,"A startup CleanClic é uma plataforma de compensação de energia renovável que conecta pessoas e empresas a usinas de energia solar, tornando o acesso à energia limpa e mais barata mais fácil e acessível, sem a necessidade de instalar painéis solares no próprio local. A empresa funciona como uma rede que democratiza a energia solar, utilizando créditos de energia gerados em centrais fotovoltaicas. ",Economia Compartilhada,Transações,"Plataforma de compensação de energia renovável que conecta consumidores a usinas solares, facilitando o acesso à energia limpa via créditos.",
,MAYA ENERGY,"A MAYA ENERGY é uma empresa focada em energia solar, atuando em diversos segmentos do setor, como financiamento para instalação de sistemas fotovoltaicos, geração distribuída e serviços para o agronegócio, como sistemas de irrigação com energia solar e captação de água. A startup busca democratizar o acesso à energia solar, oferecendo soluções para residências, empresas e propriedades rurais, além de ter um foco em projetos de geração distribuída para comunidades. ",Economia Compartilhada,Gestão,"Desenvolve soluções solares integradas (instalação, irrigação e geração distribuída), ampliando o acesso à energia limpa e à autogestão energética.",
,sunnyhub,"A SunnyHUB é uma startup brasileira, especificamente gaúcha, que trouxe o conceito de energia solar por assinatura para o Brasil, permitindo que residências e comércios usufruam de energia solar e descontos de até 25% nas contas de luz sem a necessidade de instalar painéis solares próprios, através do modelo de geração distribuída compartilhada. ",Economia Compartilhada,Transações,"Pioneira no modelo de energia solar por assinatura, oferece acesso a energia limpa e descontos sem necessidade de instalação própria.",
,EGRONN,"A EGRONN é uma startup e uma empresa brasileira que atua no setor de energia, funcionando como uma plataforma que conecta geradores de energia renovável (solar, eólica, hídrica, biomassa e cogeração qualificada) com consumidores, tanto residenciais quanto comerciais, utilizando o modelo de Geração Distribuída. O serviço permite que consumidores tenham acesso a energia limpa e mais barata, enquanto os geradores recebem remuneração pela energia que produzem, tudo isso com o objetivo de desburocratizar e democratizar o acesso à energia renovável no Brasil. ",Economia Compartilhada,Transações,"Conecta geradores e consumidores de energia renovável, simplificando o acesso à geração distribuída e remunerando os produtores.",
,Electy,"Marketplace de energia renovável no Brasil que conecta clientes residenciais e comerciais a geradores de energia mais barata e limpa. Com uma operação 100% digital, tudo isso sem nenhum custo com taxas de adesão, mensalidades, instalação de placas solares ou obras.",Economia Compartilhada,Transações,"Marketplace digital que aproxima consumidores e geradores de energia limpa, viabilizando contratos 100% online e sem custos de adesão.",
,SUNRENT,"A Sunrent é uma startup brasileira do setor de energia que atua na área de geração distribuída, conectando consumidores a usinas solares remotas para que eles recebam créditos de energia na conta de luz e economizem, sem precisar instalar painéis ou investir. A plataforma da Sunrent facilita a assinatura digital e simples de energia limpa, oferecendo economia de até 20% e utilizando o modelo de aluguel de energia. ",Economia Compartilhada,Transações,Plataforma de aluguel de energia solar que conecta consumidores a usinas remotas e oferece economia por meio de créditos na conta.,
,sunne,"A Sunne é uma startup brasileira, pioneira no modelo de energia por assinatura, que conecta consumidores a usinas solares para que possam economizar na conta de luz sem a necessidade de instalar painéis solares. A empresa oferece um processo totalmente online, onde a energia gerada pelas usinas parceiras é transformada em créditos que abatem o consumo, resultando em economia imediata e sustentabilidade. ",Economia Compartilhada,Transações,"Modelo digital de assinatura de energia solar, transformando a geração em créditos aplicados diretamente à fatura de energia.",
,,,,,,
,SOLSTAR,"A Solstar é uma startup e uma das maiores empresas de energia solar fotovoltaica do Brasil, fundada em 2015, que se dedica a projetar, instalar e financiar sistemas de energia solar para residências, comércios, agronegócios e indústrias, visando democratizar o acesso a essa energia limpa e renovável. ",Economia Compartilhada,Gestão,"Atua em toda a cadeia de energia solar — projeto, instalação e financiamento — buscando democratizar o acesso à geração distribuída em múltiplos segmentos.",
,GENYX,"A startup GENYX não é uma única empresa, mas sim o nome de um ecossistema de soluções focado em energia solar fotovoltaica, que inclui a distribuidora de equipamentos Genyx Solar Power, o Banco Genyx para financiamento, e o programa de capacitação Maestria Energenyx, atuando para fortalecer integradores solares no mercado brasileiro. ",Economia Compartilhada,Gestão,"Ecossistema que integra distribuição de equipamentos, financiamento e capacitação, fortalecendo a infraestrutura e a profissionalização do setor solar.",
,Fin.Yellow,,Fintechs do Imobiliário,Transações,"(presumido pela ausência de descrição) Provavelmente atua como fintech de financiamento de energia solar, intermediando crédito e pagamentos no setor energético.",
,holu,"A Holu é uma startup de energia solar que simplifica o processo de instalação de painéis fotovoltaicos para residências, funcionando como um marketplace que compara preços e gerencia a burocracia para o cliente. O objetivo da empresa é tornar a energia solar mais acessível, segura e prática, cuidando de todas as etapas, desde a simulação até a homologação do sistema. ",Economia Compartilhada,Transações,"Opera como marketplace de energia solar, conectando clientes e instaladores e centralizando a simulação, contratação e homologação digital.",
,SUN MOBI,"A Sun Mobi é uma startup brasileira, fundada em 2016, que atua no setor de energia solar como a primeira enertech do país e pioneira no modelo de energia solar por assinatura. A empresa oferece uma solução digital para que residências e empresas possam consumir energia solar sem a necessidade de instalar painéis em seus próprios imóveis, gerando créditos de energia em fazendas solares que são abatidos na conta de luz do cliente. ",Economia Compartilhada,Transações,"Pioneira no modelo de energia solar por assinatura, conectando consumidores a fazendas solares e gerando créditos de consumo.",
,Lemon,"A startup Lemon é uma empresa brasileira, fundada em 2019, que funciona como um marketplace de energia renovável, conectando pequenas e médias empresas (PMEs) a usinas de energia limpa, como a solar. A Lemon não vende nem distribui energia, mas gera créditos de energia renovável que são abatidos da conta de luz dos clientes, gerando economia de até 20% no custo da energia e promovendo a sustentabilidade. ",Economia Compartilhada,Transações,"Marketplace de energia renovável que conecta PMEs a usinas solares e repassa créditos energéticos, reduzindo custos e promovendo sustentabilidade.",
,alba - energia solar,"Uma empresa que foi fundada em 2010 com um espírito inovador para oferecer soluções em energia solar fotovoltaica no Brasil, atuando como pioneira em alguns setores e tendo mais de uma década de experiência no mercado. Ela se define como especialista em energia solar, com foco em levar soluções de energia limpa, renovável e sustentável para residências, comércios e o agronegócio, gerando economia para os clientes e contribuindo para a sustentabilidade do planeta. ",Economia Compartilhada,Gestão,"Atua há mais de uma década com soluções integradas de energia solar, oferecendo consultoria, instalação e manutenção voltadas à eficiência energética.",
,edsun,"A Edsun é uma startup brasileira do setor de ""greentech"" e ""fintech"" que atua na democratização da energia solar para condomínios, permitindo a locação de usinas solares sem custos iniciais para os condomínios, que passam a ter redução imediata na conta de luz. O modelo de negócio envolve a captação de investimentos para financiar a instalação das usinas, cujos contratos de locação geram recebíveis mensais para os investidores. ",Fintechs do Imobiliário,Transações,"Combina modelo greentech e fintech ao financiar e gerir a locação de usinas solares para condomínios, gerando economia e retorno financeiro para investidores.",
,Cartão Solar,"A Cartão Solar é uma startup brasileira que atua no setor de energia renovável, conectando consumidores a usinas solares através de um modelo de compartilhamento de energia. A empresa constrói ou se associa a usinas solares, gerando créditos de energia que são abatidos na conta de luz dos clientes, proporcionando economia e acesso à energia solar sem a necessidade de instalar painéis em suas próprias residências. ",Economia Compartilhada,Transações,"Conecta consumidores a usinas solares e converte a energia gerada em créditos aplicados à conta de luz, via modelo de compartilhamento energético.",
